FuelCode,Price,IsAvailable,FuelOutletIdentifier,OutletName,Address,Postcode,Suburb,FuelBrandIdentifier,Longitude,Latitude,BrandIdentifier,BrandName,collection_datetime,collection_date
U91,181.90,True,08300042,COLES EXPRESS PALMERSTON,2 YARRAWONGA RD (CNR ROYSTONEA AVE),0830,PALMERSTON,SH,130.9841,-12.473721,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,205.90,True,08300043,COLES EXPRESS FAIRWAY WATERS,130 UNIVERSITY AVENUE,0830,PALMERSTON,SH,130.970135,-12.480144,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,181.90,True,08300043,COLES EXPRESS FAIRWAY WATERS,130 UNIVERSITY AVENUE,0830,PALMERSTON,SH,130.970135,-12.480144,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,198.90,True,08300043,COLES EXPRESS FAIRWAY WATERS,130 UNIVERSITY AVENUE,0830,PALMERSTON,SH,130.970135,-12.480144,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,181.90,True,08300043,COLES EXPRESS FAIRWAY WATERS,130 UNIVERSITY AVENUE,0830,PALMERSTON,SH,130.970135,-12.480144,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,181.90,True,08100044,COLES EXPRESS NIGHTCLIFF,37 PROGRESS DRIVE,0810,NIGHTCLIFF,SH,130.851979,-12.388251,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,198.90,True,08100044,COLES EXPRESS NIGHTCLIFF,37 PROGRESS DRIVE,0810,NIGHTCLIFF,SH,130.851979,-12.388251,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,181.90,True,08100044,COLES EXPRESS NIGHTCLIFF,37 PROGRESS DRIVE,0810,NIGHTCLIFF,SH,130.851979,-12.388251,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,199.50,True,08200045,FuelXpress Winnellie,46 Coonawarra Road,0820,Winnellie,FX,130.874918,-12.43158,FX,FuelXpress,2023-05-11 14:00:17.473315,2023-05-11
P95,188.50,True,08200045,FuelXpress Winnellie,46 Coonawarra Road,0820,Winnellie,FX,130.874918,-12.43158,FX,FuelXpress,2023-05-11 14:00:17.473315,2023-05-11
U91,175.50,True,08200045,FuelXpress Winnellie,46 Coonawarra Road,0820,Winnellie,FX,130.874918,-12.43158,FX,FuelXpress,2023-05-11 14:00:17.473315,2023-05-11
P95,195.50,True,08280046,Ampol Berrimah,92 Jessop Cres,0828,Berrimah,AM,130.9131,-12.427976,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
P98,227.50,True,08280046,Ampol Berrimah,92 Jessop Cres,0828,Berrimah,AM,130.9131,-12.427976,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
PD,210.90,True,08280046,Ampol Berrimah,92 Jessop Cres,0828,Berrimah,AM,130.9131,-12.427976,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08280046,Ampol Berrimah,92 Jessop Cres,0828,Berrimah,AM,130.9131,-12.427976,AM,AMPOL,2023-05-11 14:00:17.473315,2023-05-11
LAF,201.70,True,08700047,EG Ampol Alice Springs,Corner Wills Street and Railway Terrace,0870,Alice Springs,EA,133.880355,-23.695662,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
P95,216.70,True,08700047,EG Ampol Alice Springs,Corner Wills Street and Railway Terrace,0870,Alice Springs,EA,133.880355,-23.695662,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
PD,208.00,True,08700047,EG Ampol Alice Springs,Corner Wills Street and Railway Terrace,0870,Alice Springs,EA,133.880355,-23.695662,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
P95,194.50,True,08310048,EG Ampol Bakewell,Corner Chung Wah Terrace and Lambrick Avenue,0831,Bakewell,EA,130.986152,-12.499875,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
PD,206.90,True,08310048,EG Ampol Bakewell,Corner Chung Wah Terrace and Lambrick Avenue,0831,Bakewell,EA,130.986152,-12.499875,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08310048,EG Ampol Bakewell,Corner Chung Wah Terrace and Lambrick Avenue,0831,Bakewell,EA,130.986152,-12.499875,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
P95,194.50,True,08100049,EG Ampol Casuarina,283 Trower Road,0810,Casuarina,EA,130.883614,-12.372055,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
PD,206.90,True,08100049,EG Ampol Casuarina,283 Trower Road,0810,Casuarina,EA,130.883614,-12.372055,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08100049,EG Ampol Casuarina,283 Trower Road,0810,Casuarina,EA,130.883614,-12.372055,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
P95,194.50,True,08360050,EG Ampol Coolalinga,20 Henning Road,0836,Coolalinga,EA,131.042567,-12.524825,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
PD,206.90,True,08360050,EG Ampol Coolalinga,20 Henning Road,0836,Coolalinga,EA,131.042567,-12.524825,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08360050,EG Ampol Coolalinga,20 Henning Road,0836,Coolalinga,EA,131.042567,-12.524825,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
P95,194.50,True,08120051,EG Ampol Karama,37 Kalymnos Drive,0812,Karama,EA,130.916358,-12.401029,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
PD,208.50,True,08120051,EG Ampol Karama,37 Kalymnos Drive,0812,Karama,EA,130.916358,-12.401029,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08120051,EG Ampol Karama,37 Kalymnos Drive,0812,Karama,EA,130.916358,-12.401029,EA,EG Ampol,2023-05-11 14:00:17.473315,2023-05-11
