address,long,lat
"2877 Albany Highway, KELMSCOTT , Western Australia",116.0122621,-32.1033164
"2 Fenton Street (Cnr Kewdale Road), KEWDALE , Western Australia",,
"86 Kingsley Drive, KINGSLEY , Western Australia",115.7871873,-31.8038516
"319 Vincent Street, LEEDERVILLE , Western Australia",115.8400891422811,-31.93667705
"18 Orchard Road (Cnr Kelvin Road), MADDINGTON , Western Australia",,
"375 Great Eastern Highway, MIDVALE , Western Australia",116.0262511,-31.8939611
"296 Benara Road (Cnr Beechboro Road North), MORLEY , Western Australia",,
"676 Stirling Highway, MOSMAN PARK , Western Australia",115.7555419,-32.011425
"5895 Great Eastern Highway, MUNDARING , Western Australia",116.2612106,-31.8851657
"10 Robson Way, MURDOCH , Western Australia",115.8361973,-32.0630668
"1 Broadway (Cnr Stirling Highway), NEDLANDS , Western Australia",,
"Lot 1328 Newman Drive, NEWMAN , Western Australia",119.7369398,-23.3572016
"2624 Wanneroo Road, NOWERGUP , Western Australia",115.7215378,-31.6319269
"391 Wanneroo Road, BALCATTA , Western Australia",115.8289525,-31.8668204
"309 Stock Road, O'CONNOR , Western Australia",115.793866,-32.0637616
"270 High Road, RIVERTON , Western Australia",115.8962915,-32.0386443
"111 Great Eastern Highway, RIVERVALE , Western Australia",115.9151476,-31.9525162
"29 Dixon Road, ROCKINGHAM , Western Australia",115.7678191,-32.2771046
"74 Scarborough Beach Road, SCARBOROUGH , Western Australia",115.7738031,-31.8939583
"420 Secret Harbour Bvd, SECRET HARBOUR , Western Australia",115.7595274,-32.408748
"67 Hamilton Road, SOUTH HEDLAND , Western Australia",118.5893385,-20.3915255
"194 Rokeby Road, SUBIACO , Western Australia",115.82423620803402,-31.9507285
"316 Spencer Road, THORNLIE , Western Australia",115.9592706,-32.0534747
"219 Yale Road, THORNLIE , Western Australia",115.9516471,-32.0515576
"2 Bristol Street (Cnr Warnbro Sound Ave), WARNBRO , Western Australia",,
"169 High Road, WILLETTON , Western Australia",115.8963647,-32.0387506
"436 Wanneroo Road, WESTMINSTER , Western Australia",115.8292092,-31.866972
"60 Bannister Road, CANNING VALE , Western Australia",115.92636960123896,-32.063284
"91-93 Manning Road (Cnr Wyong Road), BENTLEY , Western Australia",,
"382 Grand Prom, DIANELLA , Western Australia",115.8703755,-31.8955811
"2100 Albany Highway (Cnr Mills Street), GOSNELLS , Western Australia",,
"581 Hannan Street (Cnr Ochiltree Street), SOMERVILLE , Western Australia",,
"110 Ranford Road, CANNING VALE , Western Australia",115.9259592,-32.0930428
"2 Baroy Street (Cnr Old Coast Road), FALCON , Western Australia",,
"810 Beaufort Street, MOUNT LAWLEY , Western Australia",115.881731,-31.92519255
"537 Lake Road, SEVILLE GROVE , Western Australia",115.9880786,-32.1233334
"2 Omeo Street, SOUTH LAKE , Western Australia",115.828667,-32.1084228
"309 Morrison Road, SWAN VIEW , Western Australia",116.0424504,-31.8854853
"79 Buckingham Drive (Cnr Hartman Drive), WANGARA , Western Australia",,
"6639 West Swan Road, WEST SWAN , Western Australia",115.9866469,-31.8637344
"271 York Street, ALBANY , Western Australia",117.8834601,-35.0236144
"868 Pinjarra Road (Cnr Tonkin Drive), FURNISSDALE , Western Australia",,
"204 Great Eastern Highway, ASCOT , Western Australia",115.9400686,-31.9329157
"2 Hollosy Way (Cnr Pinjar Road), ASHBY , Western Australia",,
"614 Baldivis Road (Cnr Safety Bay Road), BALDIVIS , Western Australia",,
"303 Great Eastern Highway, BELMONT , Western Australia",115.9186142,-31.9489083
"176 Canning Highway, EAST FREMANTLE , Western Australia",115.7624646,-32.0410559
"490 Karrinyup Road, GWELUP , Western Australia",115.8001613,-31.8825087
"1 Capital Road (Cnr Alexander Drive), MALAGA , Western Australia",,
"585 Canning Highway (Cnr North Lake Road), ALFRED COVE , Western Australia",,
"240 Toodyay Road (Cnr Lewis Jones Crss), STRATTON , Western Australia",,
