stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
28,Caltex,Caltex New Town,"71 Risdon Road near Queens Walk, New Town TAS 7008",-42.851853,147.310634,P98,Premium 98,208.8,2022-11-23 14:00:11.020981,2022-11-23
28,Caltex,Caltex New Town,"71 Risdon Road near Queens Walk, New Town TAS 7008",-42.851853,147.310634,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
28,Caltex,Caltex New Town,"71 Risdon Road near Queens Walk, New Town TAS 7008",-42.851853,147.310634,U91,Unleaded 91,186.8,2022-11-23 14:00:11.020981,2022-11-23
29,Caltex,Caltex Sandy Bay,"388 Sandy Bay Road, Sandy Bay TAS 7005",-42.9022118,147.3346868,P95,Premium 95,202.9,2022-11-23 14:00:11.020981,2022-11-23
29,Caltex,Caltex Sandy Bay,"388 Sandy Bay Road, Sandy Bay TAS 7005",-42.9022118,147.3346868,P98,Premium 98,210.9,2022-11-23 14:00:11.020981,2022-11-23
29,Caltex,Caltex Sandy Bay,"388 Sandy Bay Road, Sandy Bay TAS 7005",-42.9022118,147.3346868,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
29,Caltex,Caltex Sandy Bay,"388 Sandy Bay Road, Sandy Bay TAS 7005",-42.9022118,147.3346868,U91,Unleaded 91,188.9,2022-11-23 14:00:11.020981,2022-11-23
30,EG Ampol,EG Ampol Burnie,"Cnr North Terrace & Mount Street, Burnie TAS 7320",-41.0498,145.9052,LPG,LPG,129.9,2022-11-23 14:00:11.020981,2022-11-23
30,EG Ampol,EG Ampol Burnie,"Cnr North Terrace & Mount Street, Burnie TAS 7320",-41.0498,145.9052,P95,Premium 95,210.9,2022-11-23 14:00:11.020981,2022-11-23
30,EG Ampol,EG Ampol Burnie,"Cnr North Terrace & Mount Street, Burnie TAS 7320",-41.0498,145.9052,PDL,Premium Diesel,243.9,2022-11-23 14:00:11.020981,2022-11-23
30,EG Ampol,EG Ampol Burnie,"Cnr North Terrace & Mount Street, Burnie TAS 7320",-41.0498,145.9052,U91,Unleaded 91,194.9,2022-11-23 14:00:11.020981,2022-11-23
31,EG Ampol,EG Ampol Claremont,"1 Box Hill Road, Claremont TAS 7011",-42.7924693,147.2567552,P95,Premium 95,204.9,2022-11-23 14:00:11.020981,2022-11-23
31,EG Ampol,EG Ampol Claremont,"1 Box Hill Road, Claremont TAS 7011",-42.7924693,147.2567552,PDL,Premium Diesel,240.9,2022-11-23 14:00:11.020981,2022-11-23
31,EG Ampol,EG Ampol Claremont,"1 Box Hill Road, Claremont TAS 7011",-42.7924693,147.2567552,U91,Unleaded 91,189.9,2022-11-23 14:00:11.020981,2022-11-23
32,EG Ampol,EG Ampol Glenorchy,"463-465 Main Road, Glenorchy TAS 7010",-42.8294,147.2691,P95,Premium 95,200.9,2022-11-23 14:00:11.020981,2022-11-23
